Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
283,Julio José González,mx MEX,GK,Puebla,34-303,1991,11,10,945,10.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
284,Juan José Sánchez,mx MEX,DF,UANL,28-042,1998,15,12,"1,055",11.7,0,0,0,0,0,0,6,2,0,0,0,0,0,Matches
285,José Juan Macías,mx MEX,FW,UNAM,26-151,1999,11,5,330,3.7,4,2,6,2,2,2,0,0,1.09,0.55,1.64,0.55,1.09,Matches
286,Juanpe,es ESP,DF,Atlético San Luis,34-296,1991,13,13,"1,018",11.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
287,Ramón Juárez,mx MEX,DF,América,24-287,2001,18,13,"1,116",12.4,2,0,2,2,0,0,1,1,0.16,0,0.16,0.16,0.16,Matches
288,Jhojan Julio,ec ECU,"MF,FW",Querétaro,28-009,1998,20,10,974,10.8,3,0,3,3,0,0,4,1,0.28,0,0.28,0.28,0.28,Matches
289,Juninho,br BRA,FW,UNAM,29-091,1996,6,3,275,3.1,3,2,5,2,1,1,0,0,0.98,0.65,1.64,0.65,1.31,Matches
290,Sebastián Jurado,mx MEX,GK,FC Juárez,28-145,1997,23,23,"2,070",23,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
291,Kenedy,br BRA,"MF,FW",Pachuca,30-012,1996,17,10,888,9.9,2,0,2,2,0,0,1,0,0.2,0,0.2,0.2,0.2,Matches
292,Mateo Klimowicz,de GER,"MF,FW",Atlético San Luis,25-229,2000,10,4,391,4.3,0,1,1,0,0,0,1,0,0,0.23,0.23,0,0.23,Matches
293,Roberto de la Rosa,mx MEX,"MF,FW",Monterrey,26-047,2000,10,2,231,2.6,1,1,2,1,0,0,0,0,0.39,0.39,0.78,0.39,0.78,Matches
294,Diego Lainez,mx MEX,MF,UANL,25-256,2000,22,18,"1,570",17.4,7,4,11,7,0,0,6,0,0.4,0.23,0.63,0.4,0.63,Matches
295,Mauro Laínez,mx MEX,"DF,MF",Mazatlán,29-287,1996,18,7,763,8.5,0,2,2,0,0,0,3,0,0,0.24,0.24,0,0.24,Matches
296,Gibran Lajud,mx MEX,GK,Atlético San Luis,32-057,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
297,Emilio Lara,mx MEX,DF,Necaxa,23-278,2002,9,9,750,8.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
298,Richy Ledezma,us USA,MF,Guadalajara,25-167,2000,21,17,"1,264",14,1,6,7,1,0,0,8,1,0.07,0.43,0.5,0.07,0.5,Matches
299,Antonio Leone,mx MEX,DF,Monterrey,21-298,2004,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
300,Mateo Levy,mx MEX,FW,Cruz Azul,19-121,2006,11,1,193,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
301,Ángel Leyva,mx MEX,DF,Mazatlán,19-130,2006,13,9,846,9.4,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
302,Danny Leyva,us USA,MF,Necaxa,22-291,2003,6,5,405,4.5,0,1,1,0,0,0,0,0,0,0.22,0.22,0,0.22,Matches
303,Igor Lichnovsky,cl CHI,DF,América,31-350,1994,7,5,475,5.3,1,0,1,1,0,0,0,0,0.19,0,0.19,0.19,0.19,Matches
304,Lima,br BRA,"FW,MF",América,29-254,1996,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
305,Erik Lira,mx MEX,"DF,MF",Cruz Azul,25-288,2000,22,21,"1,874",20.8,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
306,Aldo López,mx MEX,MF,Santos Laguna,25-273,2000,20,15,"1,411",15.7,2,1,3,2,0,0,1,0,0.13,0.06,0.19,0.13,0.19,Matches
307,Eder López,mx MEX,DF,FC Juárez,20-050,2006,6,3,277,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
308,Edgar López,mx MEX,"FW,MF",UANL,26-305,1999,11,7,430,4.8,1,0,1,1,0,0,0,0,0.21,0,0.21,0.21,0.21,Matches
309,Gabriel López,mx MEX,FW,Mazatlán,23-010,2003,4,0,27,0.3,0,1,1,0,0,0,0,0,0,3.33,3.33,0,3.33,Matches
310,René López,mx MEX,DF,Pachuca,24-047,2002,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
311,Rodrigo López,mx MEX,"MF,FW",UNAM,24-100,2001,20,10,865,9.6,1,2,3,1,0,0,0,0,0.1,0.21,0.31,0.1,0.31,Matches
312,Santiago López,ca CAN,FW,UNAM,20-255,2005,8,1,234,2.6,0,1,1,0,0,0,1,0,0,0.38,0.38,0,0.38,Matches
313,Vladimir Loroña,mx MEX,DF,UANL,27-096,1998,4,2,203,2.3,0,1,1,0,0,0,1,0,0,0.44,0.44,0,0.44,Matches
314,João Lourenço,br BRA,MF,Atlético San Luis,20-220,2005,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
315,Anthony Lozano,hn HON,FW,Santos Laguna,32-301,1993,7,3,230,2.6,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
316,Esteban Lozano,mx MEX,FW,Puebla,22-347,2003,18,13,"1,182",13.1,2,0,2,2,0,0,2,0,0.15,0,0.15,0.15,0.15,Matches
317,José Lozano,mx MEX,"DF,MF",Atlas,27-138,1998,9,9,694,7.7,1,1,2,1,0,0,4,1,0.13,0.13,0.26,0.13,0.26,Matches
318,José Luis Rodríguez,pa PAN,MF,FC Juárez,27-246,1998,23,21,"1,819",20.2,2,4,6,2,0,0,4,0,0.1,0.2,0.3,0.1,0.3,Matches
319,Israel Luna,mx MEX,MF,Pachuca,23-334,2002,5,1,183,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
320,Oscar Macías,mx MEX,MF,Atlético San Luis,27-226,1998,15,15,"1,069",11.9,1,1,2,1,0,0,3,0,0.08,0.08,0.17,0.08,0.17,Matches
321,Waldo Madrid,mx MEX,MF,Querétaro,22-179,2003,6,1,144,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
322,Madson,br BRA,MF,FC Juárez,26-178,1999,18,16,"1,220",13.6,2,1,3,2,0,0,1,0,0.15,0.07,0.22,0.15,0.22,Matches
323,Ignacio Maestro Puch,ar ARG,FW,Puebla,22-191,2003,4,0,62,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
324,Luis Manuel García,mx MEX,GK,Toluca,33-051,1992,10,9,813,9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
325,Juan Manuel Sanabria,uy URU,"DF,MF",Atlético San Luis,25-328,2000,19,19,"1,710",19,2,5,7,2,0,0,4,0,0.11,0.26,0.37,0.11,0.37,Matches
326,Óscar Manzanarez,mx MEX,DF,Querétaro,30-302,1995,5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
327,Jahaziel Marchand,mx MEX,MF,Atlético San Luis,24-145,2001,8,0,52,0.6,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
328,Ricardo Marín,mx MEX,"FW,MF",Puebla,27-339,1998,15,10,861,9.6,4,2,6,4,0,0,2,0,0.42,0.21,0.63,0.42,0.63,Matches
329,Ricardo Marín,mx MEX,FW,Guadalajara,27-339,1998,3,0,35,0.4,0,1,1,0,0,0,0,0,0,2.57,2.57,0,2.57,Matches
330,Salvador Mariscal,mx MEX,MF,Santos Laguna,22-304,2003,14,7,739,8.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
331,Jeremy Márquez,mx MEX,MF,Cruz Azul,25-244,2000,19,10,870,9.7,2,0,2,2,0,0,2,0,0.21,0,0.21,0.21,0.21,Matches
332,Anthony Martial,fr FRA,"MF,FW",Monterrey,30-077,1995,14,6,542,6,1,2,3,1,0,1,0,0,0.17,0.33,0.5,0.17,0.5,Matches
333,Henry Martín,mx MEX,FW,América,33-094,1992,6,3,283,3.1,0,0,0,0,0,1,0,0,0,0,0,0,0,Matches
334,Guillermo Martínez Ayala,mx MEX,FW,UNAM,30-342,1995,15,11,970,10.8,5,0,5,4,1,1,3,0,0.46,0,0.46,0.37,0.37,Matches
335,Diego Martínez,mx MEX,FW,FC Juárez,21-319,2004,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
336,Emilio Martínez González,mx MEX,DF,Necaxa,23-018,2003,5,1,174,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
337,Homer Martínez,co COL,MF,FC Juárez,28-137,1997,20,18,"1,479",16.4,0,1,1,0,0,0,6,0,0,0.06,0.06,0,0.06,Matches
338,Josef Martínez,ve VEN,FW,Tijuana,32-277,1993,4,0,82,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
339,Luca Martínez,mx MEX,FW,FC Juárez,25-034,2001,3,0,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
340,Raúl Martínez,mx MEX,DF,Necaxa,22-352,2003,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
341,Alejandro Mayorga,mx MEX,DF,FC Juárez,28-267,1997,20,19,"1,702",18.9,0,2,2,0,0,0,7,0,0,0.11,0.11,0,0.11,Matches
342,Alan Medina,mx MEX,MF,Querétaro,28-185,1997,4,0,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
343,Alan Medina,mx MEX,"MF,FW",UNAM,28-185,1997,18,11,"1,031",11.5,4,3,7,4,0,0,1,0,0.35,0.26,0.61,0.35,0.61,Matches
344,Diego Medina,mx MEX,MF,Santos Laguna,24-345,2001,10,0,162,1.8,0,1,1,0,0,0,0,0,0,0.56,0.56,0,0.56,Matches
345,Jesús Medina,py PAR,MF,Atlético San Luis,28-296,1997,1,1,68,0.8,1,0,1,1,0,0,0,0,1.32,0,1.32,1.32,1.32,Matches
346,Stefan Medina,co COL,DF,Monterrey,33-251,1992,20,17,"1,465",16.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
347,Aaron Mejía Montoya,mx MEX,DF,Tijuana,24-259,2001,5,2,217,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
348,Santiago Mele,uy URU,GK,Monterrey,28-167,1997,15,15,"1,350",15,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
349,Bruno Méndez,uy URU,DF,Toluca,26-163,1999,18,15,"1,392",15.5,1,0,1,1,0,0,3,1,0.06,0,0.06,0.06,0.06,Matches
350,Francisco Méndez,mx MEX,DF,Necaxa,20-292,2005,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
351,Jaziel Mendoza,mx MEX,DF,Cruz Azul,20-276,2005,2,1,59,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
352,Roberto Meraz,mx MEX,MF,Atlético San Luis,26-200,1999,5,1,211,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
353,Roberto Meraz,mx MEX,MF,Mazatlán,26-200,1999,12,5,536,6,1,0,1,1,0,0,2,0,0.17,0,0.17,0.17,0.17,Matches
354,Lucas Merolla,ar ARG,DF,Mazatlán,30-238,1995,17,13,993,11,0,2,2,0,0,0,6,0,0,0.18,0.18,0,0.18,Matches
355,Bruce El-Mesmari,mx MEX,MF,Querétaro,23-303,2002,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
356,Kevin Mier,co COL,GK,Cruz Azul,25-278,2000,16,16,"1,394",15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
357,Fernando Monárrez,mx MEX,"DF,MF",Puebla,26-213,1999,17,13,"1,069",11.9,1,3,4,0,1,2,2,1,0.08,0.25,0.34,0,0.25,Matches
358,Monchu,es ESP,MF,FC Juárez,26-160,1999,2,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
359,Ricardo Monreal,mx MEX,"MF,FW",Necaxa,25-010,2001,21,11,975,10.8,3,1,4,3,0,0,2,1,0.28,0.09,0.37,0.28,0.37,Matches
360,Pablo Monroy,mx MEX,"MF,FW",UNAM,23-213,2002,7,2,217,2.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
361,Elias Montiel,mx MEX,MF,Pachuca,20-136,2005,11,11,981,10.9,1,2,3,1,0,0,1,0,0.09,0.18,0.28,0.09,0.28,Matches
362,Adrián Mora,mx MEX,DF,Atlas,28-189,1997,15,14,"1,239",13.8,2,0,2,2,0,0,3,0,0.15,0,0.15,0.15,0.15,Matches
363,Gilberto Mora,mx MEX,"MF,FW",Tijuana,17-129,2008,13,12,933,10.4,3,1,4,3,0,0,0,0,0.29,0.1,0.39,0.29,0.39,Matches
364,Amaury Morales,mx MEX,MF,Cruz Azul,20-079,2005,9,2,275,3.1,1,1,2,1,0,0,0,0,0.33,0.33,0.65,0.33,0.65,Matches
365,Robert Morales,py PAR,"FW,MF",Toluca,26-340,1999,15,6,639,7.1,3,3,6,3,0,0,0,0,0.42,0.42,0.85,0.42,0.85,Matches
366,Robert Morales,py PAR,"FW,MF",UNAM,26-340,1999,6,5,435,4.8,2,1,3,1,1,1,0,0,0.41,0.21,0.62,0.21,0.41,Matches
367,Carlos Moreno,mx MEX,GK,Pachuca,28-022,1998,22,22,"1,979",22,0,0,0,0,0,0,5,1,0,0,0,0,0,Matches
368,Héctor Moreno,mx MEX,"DF,MF",Monterrey,38-034,1988,6,3,260,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
369,Iker Moreno,mx MEX,DF,Puebla,22-159,2003,10,5,582,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
370,Iván Moreno,mx MEX,"MF,DF",León,28-034,1998,22,14,"1,183",13.1,1,3,4,1,0,0,3,0,0.08,0.23,0.3,0.08,0.3,Matches
371,Omar Moreno,mx MEX,"MF,FW",Mazatlán,21-021,2005,13,10,721,8,1,1,2,1,0,0,1,0,0.12,0.12,0.25,0.12,0.25,Matches
372,Joaquín Moxica,mx MEX,FW,Monterrey,20-024,2006,7,0,64,0.7,1,0,1,1,0,0,0,0,1.41,0,1.41,1.41,1.41,Matches
373,Franco Moyano,ar ARG,MF,Puebla,28-160,1997,8,6,456,5.1,0,1,1,0,0,0,2,0,0,0.2,0.2,0,0.2,Matches
374,Alan Mozo,mx MEX,DF,Pachuca,28-321,1997,3,3,221,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
375,Alan Mozo,mx MEX,MF,Guadalajara,28-321,1997,3,1,139,1.5,0,1,1,0,0,0,1,0,0,0.65,0.65,0,0.65,Matches
376,Santiago Muñóz,mx MEX,MF,Atlético San Luis,23-190,2002,3,1,88,1,0,1,1,0,0,0,0,0,0,1.02,1.02,0,1.02,Matches
377,Eduardo Mustre,mx MEX,FW,Puebla,23-030,2003,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
378,Luis Nájera,mx MEX,MF,Atlético San Luis,22-361,2003,3,1,110,1.2,1,0,1,1,0,0,0,0,0.82,0,0.82,0.82,0.82,Matches
379,Eduardo Navarro,mx MEX,DF,Puebla,21-223,2004,15,13,"1,089",12.1,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
380,Keylor Navas,cr CRC,GK,UNAM,39-067,1986,21,21,"1,890",21,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
381,Francisco Nevarez,mx MEX,DF,FC Juárez,25-079,2000,10,6,629,7,1,0,1,1,0,0,1,0,0.14,0,0.14,0.14,0.14,Matches
382,Shamar Nicholson,jm JAM,FW,Tijuana,28-341,1997,9,4,359,4,1,0,1,1,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches
383,Lucas Ocampos,ar ARG,MF,Monterrey,31-224,1994,18,11,"1,102",12.2,5,6,11,4,1,1,5,0,0.41,0.49,0.9,0.33,0.82,Matches
384,Alberto Ocejo,mx MEX,FW,Santos Laguna,27-249,1998,20,9,858,9.5,3,2,5,3,0,1,3,1,0.31,0.21,0.52,0.31,0.52,Matches
385,Diego Ochoa,mx MEX,DF,FC Juárez,20-306,2005,5,3,275,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
386,Agustín Oliveros,uy URU,DF,Necaxa,27-187,1998,13,13,"1,113",12.4,1,0,1,1,0,0,1,0,0.08,0,0.08,0.08,0.08,Matches
387,Luca Orellano,ar ARG,FW,Monterrey,25-335,2000,3,1,159,1.8,1,1,2,1,0,0,0,0,0.57,0.57,1.13,0.57,1.13,Matches
388,Alejandro Organista,mx MEX,"MF,FW",Puebla,25-263,2000,23,20,"1,595",17.7,1,1,2,1,0,0,3,0,0.06,0.06,0.11,0.06,0.11,Matches
389,Efraín Orona,mx MEX,DF,Santos Laguna,26-363,1999,6,5,459,5.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
390,Efraín Orona,mx MEX,DF,Puebla,26-363,1999,12,8,733,8.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
391,Jesús Orozco,mx MEX,DF,Cruz Azul,24-001,2002,12,8,791,8.8,1,1,2,1,0,0,2,2,0.11,0.11,0.23,0.11,0.23,Matches
392,Ralph Orquin,us USA,"MF,DF",América,22-311,2003,2,2,173,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
393,Carlos Orrantía,mx MEX,DF,Atlas,35-019,1991,6,1,102,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
394,Haret Ortega,mx MEX,DF,Santos Laguna,25-277,2000,17,16,"1,403",15.6,1,0,1,1,0,0,5,2,0.06,0,0.06,0.06,0.06,Matches
395,Pablo Ortiz,mx MEX,DF,Tijuana,23-321,2002,10,5,583,6.5,0,1,1,0,0,0,3,0,0,0.15,0.15,0,0.15,Matches
396,Ebere Osinachi,ng NGA,FW,Cruz Azul,27-322,1998,2,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
397,Josué Ovalle,cl CHI,FW,Mazatlán,25-276,2000,1,0,20,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
398,Juan Pablo Vargas,cr CRC,DF,Puebla,30-259,1995,3,3,270,3,1,0,1,1,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches
399,Juan Pablo Vigón,mx MEX,MF,UANL,34-215,1991,12,2,237,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
400,Rodrigo Pachuca,mx MEX,DF,Puebla,20-211,2005,14,7,743,8.3,0,1,1,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches
401,Yael Padilla,mx MEX,MF,Guadalajara,20-063,2005,5,0,75,0.8,1,0,1,1,0,0,0,0,1.2,0,1.2,1.2,1.2,Matches
402,Kevin Palacios,co COL,"MF,FW",Santos Laguna,26-020,2000,20,13,"1,170",13,2,1,3,2,0,0,2,0,0.15,0.08,0.23,0.15,0.23,Matches
403,Agustín Palavecino,ar ARG,MF,Cruz Azul,29-103,1996,6,5,472,5.2,2,0,2,2,0,0,1,0,0.38,0,0.38,0.38,0.38,Matches
404,Agustín Palavecino,ar ARG,MF,Necaxa,29-103,1996,16,16,"1,403",15.6,2,2,4,1,1,1,5,0,0.13,0.13,0.26,0.06,0.19,Matches
405,José Paradela,ar ARG,MF,Cruz Azul,27-067,1998,23,23,"1,779",19.8,7,6,13,7,0,0,2,0,0.35,0.3,0.66,0.35,0.66,Matches
406,Bernardo Parra,mx MEX,MF,Querétaro,21-045,2005,4,4,286,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
407,Bernardo Parra,mx MEX,MF,UANL,21-045,2005,10,7,576,6.4,0,1,1,0,0,0,1,0,0,0.16,0.16,0,0.16,Matches
408,Rodrigo Parra,mx MEX,GK,UNAM,18-084,2007,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
409,Edson Partida,mx MEX,MF,Querétaro,28-069,1997,3,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
410,Raúl Patrón,mx MEX,DF,Atlético San Luis,21-327,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
411,Paulinho,pt POR,FW,Toluca,33-103,1992,19,17,"1,438",16,14,2,16,13,1,1,2,0,0.88,0.13,1,0.81,0.94,Matches
412,Pedro Pedraza,mx MEX,MF,Pachuca,25-296,2000,17,13,937,10.4,0,0,0,0,0,0,7,0,0,0,0,0,0,Matches
413,João Pedro,it ITA,FW,Atlético San Luis,33-348,1992,23,23,"2,039",22.7,18,0,18,12,6,6,4,1,0.79,0,0.79,0.53,0.53,Matches
414,Federico Pereira,uy URU,DF,Toluca,25-361,2000,22,20,"1,770",19.7,1,0,1,1,0,0,5,0,0.05,0,0.05,0.05,0.05,Matches
415,Aldahir Perez,mx MEX,FW,Querétaro,21-139,2004,7,1,177,2,1,0,1,1,0,0,0,0,0.51,0,0.51,0.51,0.51,Matches
416,Sebastián Pérez Bouquet,mx MEX,MF,Atlético San Luis,22-243,2003,15,12,869,9.7,2,2,4,2,0,0,1,0,0.21,0.21,0.41,0.21,0.41,Matches
417,Jonathan Pérez,mx MEX,DF,Santos Laguna,20-116,2005,5,4,372,4.1,1,0,1,1,0,0,0,0,0.24,0,0.24,0.24,0.24,Matches
418,Pavel Pérez,mx MEX,MF,Toluca,27-239,1998,6,3,289,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
419,Pavel Pérez,mx MEX,"MF,FW",Necaxa,27-239,1998,17,7,711,7.9,2,0,2,2,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches
420,Eduardo Pérez Reyes,mx MEX,FW,Querétaro,32-298,1993,4,2,115,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
421,Jonathan Perlaza,ec ECU,"DF,MF",Querétaro,28-160,1997,13,7,721,8,1,1,2,1,0,0,2,0,0.12,0.12,0.25,0.12,0.25,Matches
422,Yan Phillipe,br BRA,"MF,FW",Atlético San Luis,21-279,2004,10,6,520,5.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
423,Kevin Picón,mx MEX,DF,Santos Laguna,21-361,2004,3,1,80,0.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
424,Jesús Piñuelas,mx MEX,DF,Querétaro,27-330,1998,3,2,206,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
425,Gonzalo Piovi,ar ARG,DF,Cruz Azul,31-165,1994,19,19,"1,616",18,0,2,2,0,0,0,5,0,0,0.11,0.11,0,0.11,Matches
